Fips,County name,2023 Typology,Total ,Biden ,Trump
48053,"Burnet County, Texas",Graying America,24717,5639,18767
48055,"Caldwell County, Texas",Hispanic Centers,14973,6672,8031
48057,"Calhoun County, Texas",Hispanic Centers,7856,2148,5641
48059,"Callahan County, Texas",Evangelical Hubs,6832,734,6012
48061,"Cameron County, Texas",Hispanic Centers,114174,64063,49032
48063,"Camp County, Texas",Working Class Country,5060,1394,3626
48065,"Carson County, Texas",Aging Farmlands,3122,297,2779
48067,"Cass County, Texas",Evangelical Hubs,13927,2795,11033
48069,"Castro County, Texas",Hispanic Centers,2083,466,1602
48071,"Chambers County, Texas",Exurbs,21652,3997,17353
48073,"Cherokee County, Texas",Working Class Country,19508,4210,15101
48075,"Childress County, Texas",Graying America,2279,310,1943
48077,"Clay County, Texas",Aging Farmlands,5744,614,5069
48079,"Cochran County, Texas",Hispanic Centers,1000,177,809
48081,"Coke County, Texas",Aging Farmlands,1779,178,1586
48083,"Coleman County, Texas",Aging Farmlands,4124,451,3641
48085,"Collin County, Texas",Urban Burbs,490856,230945,252318
48087,"Collingsworth County, Texas",Working Class Country,1218,155,1048
48089,"Colorado County, Texas",Working Class Country,9975,2420,7472
48091,"Comal County, Texas",Exurbs,88892,24826,62740
48093,"Comanche County, Texas",Working Class Country,6086,853,5177
48095,"Concho County, Texas",Hispanic Centers,1268,197,1058
48097,"Cooke County, Texas",Rural Middle America,18996,3210,15596
48099,"Coryell County, Texas",Military Posts,23493,7565,15438
48101,"Cottle County, Texas",Graying America,662,113,540
48103,"Crane County, Texas",Hispanic Centers,1503,241,1247
48105,"Crockett County, Texas",Hispanic Centers,1574,344,1220
48107,"Crosby County, Texas",Hispanic Centers,1953,527,1396
48109,"Culberson County, Texas",Hispanic Centers,864,438,415
48111,"Dallam County, Texas",Hispanic Centers,1609,197,1389
48113,"Dallas County, Texas",Big Cities,919504,598576,307076
48115,"Dawson County, Texas",Hispanic Centers,3789,808,2951
48117,"Deaf Smith County, Texas",Hispanic Centers,4610,1264,3294
48119,"Delta County, Texas",Working Class Country,2592,403,2162
48121,"Denton County, Texas",Urban Burbs,417964,188695,222480
48123,"DeWitt County, Texas",Working Class Country,8118,1494,6567
48125,"Dickens County, Texas",Graying America,988,130,853
48127,"Dimmit County, Texas",Hispanic Centers,3666,2264,1384
48129,"Donley County, Texas",Aging Farmlands,1648,198,1438
48131,"Duval County, Texas",Hispanic Centers,5053,2575,2443
